CODE,NEDERLANDSE OMSCHRIJVING ,ENGELSE OMSCHRIJVING
2813002,"Vervaardiging van vloeistofpompen , ook voorzien van een meettoestel","Manufacturing pumps for liquids, whether or not fitted with a measuring device"
2813003,Vervaardiging van betonpompen,Manufacture of concrete pumps
2814,Vervaardiging van andere kranen en dergelijke artikelen,Manufacture of other taps and valves
28140,Vervaardiging van andere kranen en dergelijke artikelen,Manufacture of other taps and valves
2814001,"Vervaardiging van kranen en dergelijke artikelen voor industrieel gebruik, inclusief regelafsluiters en inlaatkleppen","Manufacture of industrial taps and valves, including control valves and supply valves"
2815,"Vervaardiging van tandwielen, lagers en andere drijfwerkelementen","Manufacture of bearings, gears, gearing and driving elements"
28150,"Vervaardiging van tandwielen, lagers en andere drijfwerkelementen","Manufacture of bearings, gears, gearing and driving elements"
2815001,"Vervaardiging van mechanismen voor het overbrengen van kracht : drijfwerkassen, nokkenassen, krukassen, enz; krukken; kussenblokken en lagerschalen","Manufacture of gearing and driving elements: transmission, cam- and crank- shafts, etc., cranks, bearings and main bearings"
2815002,"Vervaardiging van getande overbrengingen,wrijvingswielen, tandwielkasten en andere overbrengingsmechanismen voor het opvoeren, vertragen of aanpassen van de snelheid","Manufacture of manufacture of gears, gearing and gear boxes and other speed changers"
2815003,Vervaardiging van koppelingen en koppelingsorganen,Manufacture of clutches and shaft couplings
282,Vervaardiging van andere machines en apparaten voor algemeen gebruik,Manufacture of other general-purpose machinery
2821,Vervaardiging van ovens en branders,"Manufacture of ovens, furnaces and furnace burners"
28210,Vervaardiging van ovens en branders,"Manufacture of ovens, furnaces and furnace burners"
2821001,"Vervaardiging en montage van elektrische en andere industriële ovens, ovens voor laboratoria en ovens voor afvalverbranding","Manufacture and assembly of electric furnaces and other industrial furnaces, laboratory furnaces and incinerators"
2821002,"Vervaardiging van branders, inclusief branders voor ketels voor centrale verwarming","Manufacture of burners, including burners for central heating boilers"
2821011,Vervaardiging van niet-elektrische panelen voor het opvangen van zonne-energie.,Manufacture of non photovoltaic solar heat collectors
2822,"Vervaardiging van hijs-, hef- en transportwerktuigen",Manufacture of lifting and handling equipment
28220,"Vervaardiging van hijs-, hef- en transportwerktuigen",Manufacture of lifting and handling equipment
2822001,"Vervaardiging van takels, lieren, kaapstanders, dommekrachten en vijzels","Manufacture of pulley tackle and hoists, winches, capstans and jacks"
2822002,"Vervaardiging van dirkkranen, hijskranen, verrijdbare kranen, hefportalen, portaalwagens, enz.","Manufacture of derricks, cranes, mobile lifting frames and cranes, straddle carriers, etc."
2822003,"Vervaardiging van wagens voor intern transport, ook met eigen beweegkracht en al dan niet voorzien van een hef- of hanteerinrichting","Manufacture of works trucks, self-propelled, not fitted with lifting or handling equipment, of the type used in factories"
2822004,"Vervaardiging van mechanische manipulatoren en industrierobots die speciaal voor het heffen, hijsen, laden of lossen van goederen zijn ontworpen","Manufacture of mechanical manipulators and industrial robots specifically designed for lifting, handling, loading or unloading"
2822005,"Vervaardiging van transportbanden, kabelbanen, vloeistofelevatoren, enz.","Manufacture of transport equipment and conveyors, cable ways, liquid elevators, etc."
2822006,"Vervaardiging van liften, goederenliften, roltrappen en rolpaden","Manufacture of elevators, escalators and moving walkways"
2823,Vervaardiging van kantoormachines en -uitrusting (exclusief compu-ters en randapparatuur),Manufacture of office machinery and equipment (except computers and peripheral equipment)
28230,Vervaardiging van kantoormachines en -uitrusting (exclusief computers en randapparatuur),Manufacture of office machinery and equipment (except computers and peripheral equipment)
2823001,Vervaardiging van elektrische en niet-elektrische schrijfmachines,Manufacture of electric and manual typewriters
2824,Vervaardiging van elektrisch handgereedschap,Manufacture of power-driven hand tools
28240,Vervaardiging van elektrisch handgereedschap,Manufacture of power-driven hand tools
2825,"Vervaardiging van machines en apparaten voor de koeltechniek en de  klimaatregeling, voor niet-huishoudelijk gebruik",Manufacture of non-domestic cooling and ventilation equipment
28250,"Vervaardiging van machines en apparaten voor de koeltechniek en de  klimaatregeling, voor niet-huishoudelijk gebruik",Manufacture of non-domestic cooling and ventilation equipment
2825001,"Vervaardiging en installatie van industriële machines, apparaten en toestellen voor de koeltechniek",Manufacture and installation of industrial cold production equipment
2825002,Vervaardiging van koeltoonbanken,Manufacture of refrigerated counters
2825003,Vervaardiging van machines en apparaten voor de klimaatregeling in besloten ruimten (airconditioning).,Manufacture of machinery and equipment for air conditioning
2825004,Vervaardiging van warmtewisselaars,Manufacture of heat exchangers
2825005,Vervaardiging van ventilatoren voor niet-huishoudelijk gebruik,Manufacture of non-domestic fans
2829,"Vervaardiging van andere machines en apparaten voor algemeen gebruik, n.e.g.",Manufacture of other general-purpose machinery n.e.c.
28291,Vervaardiging van verpakkingsmachines,Manufacture of packing machines
2829101,"Vervaardiging van machines voor het vullen, sluiten, verzegelen, capsuleren, etiketteren, enz.","Manufacture of packing or wrapping machinery : machinery for filling, closing, sealing, capping, labelling, etc."
2829102,Vervaardiging van verpakkingsinstallaties voorzien van een weeg- of doseerinrichting.,Manufacture of packing lines provided with weighing or batching devices
28292,Vervaardiging van weegtoestellen,Manufacture of weighing devices
28293,Vervaardiging van toestellen voor het spuiten van vloeistoffen of poeder,Manufacture of equipment for projection of liquids or powders
2829301,"Vervaardiging van toestellen voor het spuiten, verspreiden of verstuiven van vloeistoffen of van poeder : spuitpistolen, stoomstraaltoestellen, enz.","Manufacture of appliances for projecting, dispersing or spraying liquids or powders: manufacture of spray guns, steam-jet devices, etc."
28294,Vervaardiging van verkoopautomaten,Manufacture of automatic  machines for selling products
28295,Vervaardiging van filtreertoestellen,Manufacture of filtering apparatus
2829501,"Vervaardiging van toestellen voor het filtreren of zuiveren van vloeistoffen, lucht of andere gassen","Manufacture of filtering or purifying apparatus, for liquids, air or other gases"
28296,"Vervaardiging van hogedrukreinigers, zandstraalapparaten en dergelijk reinigingsmateriaal","Manufacture of pressure cleaners, industrial sand blasting or similar equipment"
28299,"Vervaardiging van andere machines en apparaten voor algemeen gebruik, n.e.g.",Manufacture of other general-purpose machinery n.e.c.
2829901,"Vervaardiging van distilleer- en rectificeertoestellen voor aardolieraffinaderijen, voor de chemische industrie of voor de drankenindustrie","Manufacture of distilling or rectifying apparatus for oil refineries, chemical industries or beverage industries"
283,Vervaardiging van machines en werktuigen voor de landbouw en de bosbouw,Manufacture of agricultural and forestry machinery
2830,Vervaardiging van machines en werktuigen voor de landbouw en de  bosbouw,Manufacture of agricultural and forestry machinery
28300,Vervaardiging van machines en werktuigen voor de landbouw en de  bosbouw,Manufacture of agricultural and forestry machinery
2830001,Vervaardiging van tractoren voor gebruik in de landbouw of de bosbouw,Manufacture of agricultural and forestry tractors
2830002,Vervaardiging van motoculteurs,Manufacture of tillers
2830011,"Vervaardiging van maaimachines, inclusief gazonmaaiers","Manufacture of mowers, including lawnmowers"
2830012,Vervaardiging van al dan niet zelfladende of zelflossende aanhangwagens en opleggers voor landbouwdoeleinden,Manufacture of self-loading and self-unloading trailers and semi-trailers for agriculture
2830013,"Vervaardiging van landbouwmachines voor het voorbereiden van de bodem, voor het planten of voor het bemesten : ploegen, machines voor het verspreiden van meststoffen, zaaimachines, eggen, enz.","Manufacture of machinery and agricultural machinery for soil preparation, crop planting or fertilizer application: ploughs, manure spreaders, seeders, harrows, etc."
2830014,"Vervaardiging van machines en werktuigen voor het oogsten van tuin- en landbouwproducten : oogst -, rooi -, dors -, sorteermachines, enz.","Manufacture of harvesting machinery of agricultural and horticultural products: harvesters, threshers, sorting machines, etc."
2830015,Vervaardiging van sproeimachines voor gebruik in de landbouw.,Manufacture of spraying machinery for agriculture
2830016,"Vervaardiging van overige landbouwmachines en -werktuigen en werktuigen voor pluimveeteelt, bijenteelt, bereiden van veevoeders, enz.; machines voor het reinigen en sorteren van eieren, fruit, enz.","Manufacture of other machinery for agriculture, poultry farming, bee-keeping, preparation of food and feedstuffs for animals, etc..; machines for cleaning, sorting, grading eggs, fruit, etc."
284,Vervaardiging van niet-verspanende machines voor de metaalbe-werking en van gereedschapswerktuigen,Manufacture of metal forming machinery and machine tools
2841,Vervaardiging van machines voor de metaalbewerking,Manufacture of metal forming machinery
28410,Vervaardiging van machines voor de metaalbewerking,Manufacture of metal forming machinery
2849,Vervaardiging van andere gereedschapswerktuigen,Manufacture of other machine tools
28490,Vervaardiging van andere gereedschapswerktuigen,Manufacture of other machine tools
289,"Vervaardiging van andere machines, apparaten en werktuigen voor specifieke doeleinden",Manufacture of other special-purpose machinery
2891,Vervaardiging van machines voor de metallurgie,Manufacture of machinery for metallurgy
28910,Vervaardiging van machines voor de metallurgie,Manufacture of machinery for metallurgy
2891001,"Vervaardiging van machines en werktuigen voor het hanteren van hete metalen : convertors, gietvormen voor ingots, giet - en gietmachines","Manufacture of machines and equipment for handling hot metals: converters, ingot moulds, ladles, casting machines"
